Station,Scenario,Model,Variable,CV,Bias,NRMSE,RMSE,CV Delta From Observed,Max. Value,Max. Value Delta From Observed,A-D p-value,K-S p-value,K-S statistic sign
Kodiak,rcp60,CCSM4,tas_mean_C,0.98,-0.3,0.1,2.7,0.01,16.9,-0.4,0.25,0.48,-1
Kodiak,rcp85,CCSM4,pr_total_mm,2.45,1.1,0.2,94.3,0.6,353.0,68.1,0.03,0.19,-1
Kodiak,rcp85,CCSM4,tas_mean_C,1.05,-0.1,0.1,2.4,0.06,16.2,0.3,0.25,0.87,-1
King Salmon,rcp45,5ModelAvg,pr_total_mm,2.15,7.4,0.2,27.5,0.63,95.0,59.9,0.0,0.01,1
King Salmon,rcp45,5ModelAvg,tas_mean_C,0.37,-0.6,0.1,3.7,0.12,15.2,1.0,0.09,0.19,-1
King Salmon,rcp60,5ModelAvg,pr_total_mm,2.26,6.6,0.2,27.9,0.74,93.0,61.9,0.0,0.02,1
King Salmon,rcp60,5ModelAvg,tas_mean_C,0.38,-0.8,0.1,3.7,0.13,15.6,0.6,0.05,0.19,-1
King Salmon,rcp85,5ModelAvg,pr_total_mm,2.16,5.9,0.2,26.7,0.64,101.0,53.9,0.0,0.01,1
King Salmon,rcp85,5ModelAvg,tas_mean_C,0.43,-1.0,0.1,3.6,0.18,15.1,1.1,0.01,0.01,-1
King Salmon,rcp45,GFDL-CM3,pr_total_mm,1.9,8.1,0.2,29.6,0.38,121.0,33.9,0.0,0.01,1
King Salmon,rcp45,GFDL-CM3,tas_mean_C,0.43,-1.3,0.1,4.7,0.18,16.4,-0.2,0.05,0.28,-1
King Salmon,rcp60,GFDL-CM3,pr_total_mm,1.96,7.3,0.2,28.8,0.44,106.0,48.9,0.01,0.02,1
King Salmon,rcp60,GFDL-CM3,tas_mean_C,0.44,-1.3,0.1,4.6,0.19,16.4,-0.2,0.05,0.28,-1
King Salmon,rcp85,GFDL-CM3,pr_total_mm,2.0,7.7,0.2,30.0,0.48,118.0,36.9,0.0,0.01,1
King Salmon,rcp85,GFDL-CM3,tas_mean_C,0.52,-1.8,0.1,4.4,0.27,17.2,-1.0,0.0,0.0,-1
King Salmon,rcp45,GISS-E2-R,pr_total_mm,1.87,8.3,0.2,28.5,0.35,107.0,47.9,0.01,0.03,1
King Salmon,rcp45,GISS-E2-R,tas_mean_C,0.31,-0.3,0.1,4.5,0.06,15.4,0.8,0.25,0.72,-1
King Salmon,rcp60,GISS-E2-R,pr_total_mm,1.94,5.9,0.2,32.0,0.42,109.0,45.9,0.01,0.06,1
King Salmon,rcp60,GISS-E2-R,tas_mean_C,0.38,-0.7,0.1,4.3,0.13,15.6,0.6,0.14,0.23,-1
King Salmon,rcp85,GISS-E2-R,pr_total_mm,1.85,6.9,0.2,30.4,0.33,119.0,35.9,0.01,0.03,1
King Salmon,rcp85,GISS-E2-R,tas_mean_C,0.36,-0.6,0.1,4.2,0.11,15.7,0.5,0.16,0.19,-1
King Salmon,rcp45,IPSL-CM5A-LR,pr_total_mm,1.69,7.8,0.2,33.1,0.17,132.0,22.9,0.01,0.04,1
King Salmon,rcp45,IPSL-CM5A-LR,tas_mean_C,0.29,-0.3,0.1,3.8,0.04,17.2,-1.0,0.25,0.87,-1
King Salmon,rcp60,IPSL-CM5A-LR,pr_total_mm,1.64,7.6,0.2,32.0,0.12,124.0,30.9,0.02,0.09,1
King Salmon,rcp60,IPSL-CM5A-LR,tas_mean_C,0.34,-0.7,0.1,4.2,0.09,17.3,-1.1,0.15,0.34,-1
King Salmon,rcp85,IPSL-CM5A-LR,pr_total_mm,1.67,4.8,0.2,28.3,0.15,139.0,15.9,0.12,0.19,1
King Salmon,rcp85,IPSL-CM5A-LR,tas_mean_C,0.4,-1.2,0.1,4.1,0.15,16.6,-0.4,0.07,0.19,-1
King Salmon,rcp45,MRI-CGCM3,pr_total_mm,1.6,6.4,0.2,33.2,0.08,144.0,10.9,0.05,0.12,1
King Salmon,rcp45,MRI-CGCM3,tas_mean_C,0.31,-0.3,0.1,4.5,0.06,16.2,0.0,0.25,0.56,-1
King Salmon,rcp60,MRI-CGCM3,pr_total_mm,1.84,4.1,0.2,30.2,0.32,130.0,24.9,0.06,0.23,-1
King Salmon,rcp60,MRI-CGCM3,tas_mean_C,0.33,-0.4,0.1,4.3,0.08,15.5,0.7,0.25,0.56,-1
King Salmon,rcp85,MRI-CGCM3,pr_total_mm,1.78,4.1,0.2,30.7,0.26,123.0,31.9,0.09,0.15,1
King Salmon,rcp85,MRI-CGCM3,tas_mean_C,0.41,-1.0,0.1,4.2,0.16,15.3,0.9,0.12,0.15,-1
King Salmon,rcp45,CCSM4,pr_total_mm,1.7,6.3,0.2,30.2,0.18,126.0,28.9,0.04,0.15,1
King Salmon,rcp45,CCSM4,tas_mean_C,0.41,-1.0,0.1,4.6,0.16,17.9,-1.7,0.18,0.12,-1
King Salmon,rcp60,CCSM4,pr_total_mm,1.82,8.1,0.2,32.9,0.3,113.0,41.9,0.01,0.04,1
King Salmon,rcp60,CCSM4,tas_mean_C,0.32,-0.6,0.1,4.3,0.07,18.7,-2.5,0.25,0.56,-1
King Salmon,rcp85,CCSM4,pr_total_mm,1.66,6.3,0.2,31.4,0.14,165.0,-10.1,0.07,0.19,1
King Salmon,rcp85,CCSM4,tas_mean_C,0.35,-0.6,0.1,4.1,0.1,16.2,0.0,0.25,0.56,-1
Fairbanks,rcp45,5ModelAvg,pr_total_mm,1.56,1.6,0.2,22.7,0.57,66.0,80.8,0.0,0.0,-1
Fairbanks,rcp45,5ModelAvg,tas_mean_C,-0.12,-0.2,0.1,3.6,0.01,18.6,0.7,0.25,0.72,-1
Fairbanks,rcp60,5ModelAvg,pr_total_mm,1.66,2.5,0.2,22.9,0.67,69.0,77.8,0.0,0.0,-1
Fairbanks,rcp60,5ModelAvg,tas_mean_C,-0.1,-0.5,0.1,3.5,0.03,19.1,0.2,0.25,0.64,-1
Fairbanks,rcp85,5ModelAvg,pr_total_mm,1.7,2.1,0.2,23.4,0.71,65.0,81.8,0.0,0.0,-1
Fairbanks,rcp85,5ModelAvg,tas_mean_C,-0.1,-0.6,0.1,3.5,0.03,18.5,0.8,0.18,0.23,-1
Fairbanks,rcp45,GFDL-CM3,pr_total_mm,1.39,0.7,0.2,24.2,0.4,83.0,63.8,0.02,0.03,-1
Fairbanks,rcp45,GFDL-CM3,tas_mean_C,-0.07,-0.9,0.1,4.5,0.06,19.3,0.0,0.25,0.72,-1
Fairbanks,rcp60,GFDL-CM3,pr_total_mm,1.43,0.8,0.2,24.6,0.44,88.0,58.8,0.01,0.06,-1
Fairbanks,rcp60,GFDL-CM3,tas_mean_C,-0.05,-1.3,0.1,4.7,0.08,19.7,-0.4,0.23,0.23,-1
Fairbanks,rcp85,GFDL-CM3,pr_total_mm,1.45,-0.0,0.2,23.5,0.46,82.0,64.8,0.0,0.0,-1
Fairbanks,rcp85,GFDL-CM3,tas_mean_C,-0.02,-1.7,0.1,4.7,0.11,20.0,-0.7,0.02,0.01,-1
Fairbanks,rcp45,GISS-E2-R,pr_total_mm,1.2,2.3,0.2,26.8,0.21,117.0,29.8,0.01,0.02,-1
Fairbanks,rcp45,GISS-E2-R,tas_mean_C,-0.14,0.0,0.1,4.5,0.01,19.8,-0.5,0.25,0.72,-1
Fairbanks,rcp60,GISS-E2-R,pr_total_mm,1.25,3.7,0.2,26.0,0.26,113.0,33.8,0.0,0.02,-1
Fairbanks,rcp60,GISS-E2-R,tas_mean_C,-0.11,-0.4,0.1,4.4,0.02,19.7,-0.4,0.25,0.48,-1
Fairbanks,rcp85,GISS-E2-R,pr_total_mm,1.37,4.5,0.2,27.1,0.38,94.0,52.8,0.0,0.04,-1
Fairbanks,rcp85,GISS-E2-R,tas_mean_C,-0.12,-0.3,0.1,4.3,0.01,20.4,-1.1,0.25,0.56,-1
Fairbanks,rcp45,IPSL-CM5A-LR,pr_total_mm,1.35,1.7,0.2,24.5,0.36,92.0,54.8,0.03,0.06,-1
Fairbanks,rcp45,IPSL-CM5A-LR,tas_mean_C,-0.12,-0.2,0.1,4.2,0.01,19.9,-0.6,0.25,0.93,1
Fairbanks,rcp60,IPSL-CM5A-LR,pr_total_mm,1.34,2.6,0.2,25.5,0.35,87.0,59.8,0.04,0.15,-1
Fairbanks,rcp60,IPSL-CM5A-LR,tas_mean_C,-0.1,-0.5,0.1,4.4,0.03,20.1,-0.8,0.25,0.8,-1
Fairbanks,rcp85,IPSL-CM5A-LR,pr_total_mm,1.45,1.4,0.2,24.9,0.46,72.0,74.8,0.03,0.07,-1
Fairbanks,rcp85,IPSL-CM5A-LR,tas_mean_C,-0.07,-1.0,0.1,4.3,0.06,20.5,-1.2,0.25,0.72,-1
Fairbanks,rcp45,MRI-CGCM3,pr_total_mm,1.32,2.5,0.2,25.4,0.33,95.0,51.8,0.04,0.23,-1
Fairbanks,rcp45,MRI-CGCM3,tas_mean_C,-0.18,0.6,0.1,4.5,0.05,19.1,0.2,0.25,0.56,1
Fairbanks,rcp60,MRI-CGCM3,pr_total_mm,1.31,2.9,0.2,26.4,0.32,115.0,31.8,0.02,0.07,-1
Fairbanks,rcp60,MRI-CGCM3,tas_mean_C,-0.15,0.1,0.1,4.3,0.02,18.4,0.9,0.25,0.48,1
Fairbanks,rcp85,MRI-CGCM3,pr_total_mm,1.4,3.1,0.2,25.7,0.41,113.0,33.8,0.02,0.07,-1
Fairbanks,rcp85,MRI-CGCM3,tas_mean_C,-0.13,-0.2,0.1,4.3,0.0,17.7,1.6,0.25,0.48,-1
Fairbanks,rcp45,CCSM4,pr_total_mm,1.33,0.6,0.2,24.6,0.34,126.0,20.8,0.03,0.07,-1
Fairbanks,rcp45,CCSM4,tas_mean_C,-0.09,-0.7,0.1,5.1,0.04,22.6,-3.3,0.25,0.41,-1
Fairbanks,rcp60,CCSM4,pr_total_mm,1.39,2.4,0.2,24.3,0.4,89.0,57.8,0.01,0.04,-1
Fairbanks,rcp60,CCSM4,tas_mean_C,-0.11,-0.4,0.1,4.6,0.02,23.2,-3.9,0.25,0.87,1
Fairbanks,rcp85,CCSM4,pr_total_mm,1.44,1.7,0.2,25.4,0.45,88.0,58.8,0.01,0.02,-1
Fairbanks,rcp85,CCSM4,tas_mean_C,-0.13,-0.1,0.1,4.7,0.0,21.0,-1.7,0.25,0.64,1
Delta Junction,rcp45,5ModelAvg,pr_total_mm,1.16,-7.8,0.1,21.7,0.34,95.0,76.4,0.0,0.0,-1
Delta Junction,rcp45,5ModelAvg,tas_mean_C,-0.12,0.3,0.1,3.6,0.03,17.2,1.0,0.25,0.97,1
Delta Junction,rcp60,5ModelAvg,pr_total_mm,1.18,-7.4,0.1,21.9,0.36,90.0,81.4,0.0,0.0,-1
Delta Junction,rcp60,5ModelAvg,tas_mean_C,-0.11,0.1,0.1,3.6,0.02,17.8,0.4,0.25,0.93,1
Delta Junction,rcp85,5ModelAvg,pr_total_mm,1.19,-7.3,0.1,21.1,0.37,97.0,74.4,0.0,0.0,-1
Delta Junction,rcp85,5ModelAvg,tas_mean_C,-0.1,-0.0,0.1,3.4,0.01,17.1,1.1,0.25,0.8,-1
Delta Junction,rcp45,GFDL-CM3,pr_total_mm,1.03,-10.0,0.1,24.7,0.21,154.0,17.4,0.0,0.0,-1
Delta Junction,rcp45,GFDL-CM3,tas_mean_C,-0.05,-0.6,0.1,4.5,0.04,18.2,-0.0,0.25,0.93,-1
Delta Junction,rcp60,GFDL-CM3,pr_total_mm,1.09,-9.5,0.1,24.2,0.27,114.0,57.4,0.0,0.0,-1
Delta Junction,rcp60,GFDL-CM3,tas_mean_C,-0.05,-0.6,0.1,4.7,0.04,18.3,-0.1,0.25,0.93,-1
Delta Junction,rcp85,GFDL-CM3,pr_total_mm,1.1,-10.0,0.1,25.0,0.28,128.0,43.4,0.0,0.0,-1
